# U0 [m]	V0 [m]	Ecart [m]	Altitude [m]
-218.3976843	183.58641	1.019631305	96.9
-219.2809213	183.2528543	0.944122284	96.9
-220.2444516	182.9193014	1.019631397	97
-221.2079819	182.5857486	1.019631442	97
-222.0912154	182.3633881	0.910793912	97
-223.054746	182.0298356	1.019631519	97
-224.0182767	181.6962832	1.019631564	97
-224.9015141	181.3627282	0.944122519	97
-225.865045	181.0291761	1.019631656	97
-226.8285759	180.6956241	1.019631701	97
-227.7118136	180.3620695	0.944122643	97
-228.6753448	180.0285178	1.019631793	97
-229.638876	179.6949662	1.019631838	97
-230.6024112	179.2502199	1.061225413	97
-231.4856493	178.9166658	0.944122823	97
-232.3688914	178.4719169	0.988897455	97
-233.3324269	178.0271709	1.061225574	97
-234.2156653	177.6936172	0.944122974	97
-235.0989078	177.2488686	0.9888976	97
-235.9821503	176.8041202	0.988897654	97
-236.9456864	176.3593748	1.061225793	97
-237.8289252	176.0258215	0.944123182	97
-238.7121681	175.5810735	0.988897799	97
-239.6757045	175.1363284	1.061225954	97
-240.5589436	174.8027755	0.944123334	97
-241.4421868	174.3580278	0.988897944	97
-242.4057236	173.9132832	1.061226115	97
-243.2889671	173.4685357	0.988898049	97
-244.1722066	173.1349833	0.944123541	97
-245.1357437	172.690239	1.061226276	97
-246.0189875	172.245492	0.988898195	97.1
-246.9022315	171.800745	0.988898247	97.1
-247.8657648	171.467196	1.019632965	97.1
-248.7490048	171.1336442	0.94412379	97.1
-249.7125425	170.6889006	1.061226539	97.1
-250.6760761	170.3553521	1.019633117	97.1
-251.5593165	170.0218007	0.944123927	97.1
-252.5228503	169.6882524	1.019633208	97.1
-253.406095	169.2435063	0.988898551	97.2
-254.369629	168.9099583	1.019633315	97.2
-255.2528697	168.5764074	0.944124107	97.2
-256.2164039	168.2428597	1.019633406	97.2
-257.0996448	167.909309	0.94412419	97.2
-258.0631835	167.4645666	1.061226963	97.2
-259.0267181	167.1310193	1.019633559	97.2
-259.9099592	166.7974689	0.944124328	97.2
-260.8734939	166.4639219	1.01963365	97.3
-261.8370287	166.130375	1.019633696	97.3
-262.7202745	165.6856301	0.988898973	97.3
-263.6838096	165.3520834	1.019633802	97.3
-264.6473447	165.0185369	1.019633847	97.3
-265.5305864	164.6849874	0.944124591	97.3
-266.4941217	164.3514411	1.01963394	97.3
-267.3773681	163.9066969	0.988899183	97.3
-268.3409036	163.5731509	1.019634046	97.3
-269.2241502	163.1284069	0.988899275	97.4
-270.1073969	162.683663	0.988899329	97.4
-271.0709327	162.3501174	1.019634213	97.4
-271.9541796	161.9053738	0.988899421	97.4
-272.8374267	161.4606303	0.988899474	97.4
-273.8009628	161.1270851	1.019634381	97.4
-274.6842101	160.6823418	0.988899566	97.4
-275.5674529	160.3487936	0.94412513	97.5
-276.4507004	159.9040505	0.988899658	97.5
-277.4142416	159.4593109	1.061228016	97.5
-278.2974847	159.125763	0.944125282	97.5
-279.1807325	158.6810204	0.988899803	97.5
-280.1442741	158.2362812	1.061228177	97.5
-281.0275175	157.9027337	0.944125434	97.5
-281.9107656	157.4579913	0.988899948	97.5
-282.8743028	157.1244475	1.019634929	97.6
-283.7575512	156.6797054	0.988900041	97.6
-284.6407998	156.2349634	0.988900093	97.6
-285.6043373	155.90142	1.019635096	97.6
-286.5678796	155.4566817	1.061228542	97.6
-287.4511237	155.123135	0.944125779	97.6
-288.4146615	154.789592	1.019635248	97.6
-289.2979106	154.3448506	0.988900318	97.6
-290.2614486	154.0113078	1.019635355	97.7
-291.1446979	153.5665667	0.98890041	97.7
-292.1082361	153.2330242	1.019635462	97.7
-292.9914808	152.8994783	0.944126055	97.7
-293.9550241	152.4547411	1.061228938	97.8
-294.9185626	152.121199	1.019635613	97.8
